64342	23423
9820	5093
4173	8365
9343	23450
7321	7186
28996	4204
5518	83987
51447	7186
64175	5460
23028	7158
672	1025
6118	302
6792	55833
79132	3692
84081	4641
9775	51503
51133	90507
5885	6222
867	26060
53615	6597
1655	207
1788	79577
55967	4701
8837	23451
7272	6472
5522	220134
11171	7514
1832	3437
7514	81847
8312	8239
5110	6199
1642	2870
8452	9343
10528	8342
4208	5598
3275	3064
2908	3329
7297	84449
7189	8607
9643	3192
2521	226
23400	4886
3005	8517
26227	23363
5595	8751
5609	26270
51143	7415
3329	238
55148	8354
11043	51035
11198	51592
23612	4914
7514	94056
24140	4673
3836	1408
3171	7088
26127	10189
4436	55611
8480	8021
10376	5295
8036	22808
5597	396
6598	10018
57616	23281
7410	8651
11171	11171
23198	8360
11140	282974
648	121504
6890	26046
7514	9657
7337	80010
8454	10477
84759	6249
24144	4193
107986084	5660
9820	2108
3309	988
9820	10521
1994	4774
3337	3064
9678	84105
27067	8575
9782	6626
51637	55832
3065	57621
7965	54069
54918	51435
369	7531
9804	7189
988	7372
1994	1277
3065	664
5580	60312
7329	596
9820	2806
4683	6613
8836	9203
54891	10856
472	8091
10521	9775
1994	9878
8453	6228
10075	4673
54785	51714
23112	64319
7094	3184
8726	3856
23166	23062
6780	94081
55623	54517
79018	2668
2091	54865
3959	11331
84313	84313
10482	4763
10868	5718
8826	80179
24148	5071
8364	121504
6875	2957
8452	129831
5716	8343
4147	1857
8453	5430
26270	7311
11135	4609
1856	1856
10640	382
28996	2033
83737	8650
22827	54870
4093	4089
9325	5970
904	5371
6622	25962
7879	5868
5127	84126
11345	79876
23144	51491
1994	23476
11345	3032
9774	80145
4214	5599
3192	54512
10951	84787
1203	10423
7414	5829
23363	8449
1994	51012
64121	3958
1717	26046
83933	9612
10048	4233
1385	10011
90273	2260
5700	9097
10717	701
10714	1108
9929	805
7157	613
3065	7411
163786	9338
11140	5894
9869	80097
3024	26156
8841	9612
2746	27257
5433	9646
5108	5515
6169	7189
10179	3190
4627	7525
5707	4914
6434	27316
1994	5071
5528	8500
3615	5071
29079	81608
5601	23162
4832	6199
4522	6789
51586	2034
25902	9146
2033	6314
7514	203286
9933	6472
6711	324
9820	10890
9820	5954
29843	5905
50813	5884
10291	55832
6428	3437
3428	8449
11345	6950
988	3799
25929	6119
10928	29844
4782	9646
23091	219541
10250	8667
373156	1650
55295	10653
8668	8669
81628	125115
2296	6299
55749	84759
4116	9939
10482	26574
83759	5936
9043	1974
11345	6599
1994	56829
7082	84078
81622	25844
51661	5460
79036	55813
5128	7532
9945	64174
54908	161582
55507	11311
10055	6613
50809	9045
1627	81
8260	80817
4171	2181
26015	56257
790	3959
7321	57534
672	7325
3093	51444
51222	25925
1994	93643
5008	163033
23469	6829
79882	3837
55692	708
9457	9204
4233	26270
4869	6477
5685	8454
259266	100288695
3066	57708
5725	988
4292	6576
85403	79101
23363	7184
51493	5460
54148	84311
9777	81790
10075	9879
55832	9530
3309	51320
1832	5520
369	3326
3309	9657
1387	2908
5110	7014
23210	63926
8487	1314
9589	64210
5064	3064
51773	4171
7277	9702
84612	64792
8726	6201
7171	4914
10273	100288695
10061	6472
5597	25920
6789	2969
23468	8365
29126	9026
7283	60493
975	10492
5954	92906
8939	668
2885	1639
3313	3178
3608	55646
5201	9737
7514	9219
3014	8358
57521	114609
7520	145508
8726	55131
25885	5202
23476	9968
1994	65983
200186	8358
841	10210
4236	7532
22794	5770
5320	5320
7329	3692
3315	84131
11043	203068
6117	2189
975	8665
10179	55844
80760	8493
10664	55832
8243	113130
10014	2746
287	6059
7515	200558
7337	5886
1495	87
9948	1627
997	22809
54865	105
3309	81847
8363	8968
57504	1108
79577	5828
10733	1107
11047	5708
57510	23612
8767	1892
7430	5962
79155	10015
10342	3428
7529	10772
28988	55785
160851	55605
5371	1977
3837	56257
6119	90850
4691	23076
79701	10082
468	10970
83992	11235
10541	221613
11120	11133
3998	1315
8915	8915
996	56916
84749	84197
22954	58477
2316	8517
23386	57565
6217	9939
23549	9882
10075	7314
55116	3597
51652	27183
2023	22992
1994	55170
23363	8924
55810	1994
23394	4609
51067	26995
5424	4914
9368	207
79017	7257
64969	51649
5965	1385
7175	5460
79776	1108
546	7112
400	121441
829	5099
81887	7514
4216	116840
4216	7391
1387	51193
55651	7189
57082	79003
2002	9314
57584	399687
7469	25920
5711	5395
57599	159090
51121	84365
11140	6199
55367	8517
7514	6201
7157	2969
7257	55755
8454	9530
672	25
16	3326
1982	8667
672	5595
3309	3181
7030	5707
6624	4651
83987	7284
10857	255738
58480	286827
26999	23268
2742	5311
83759	83903
54148	51263
26258	55093
255738	1468
4609	159090
10813	100874074
8726	6015
9948	6059
1655	7157
27339	4851
7391	2969
107986084	9128
10971	126961
51729	84816
11345	158405
79634	2059
4191	2272
9782	9698
9902	9821
7514	10916
3315	7381
55841	23612
10980	4914
54840	8815
54939	5970
3315	23524
23385	9804
9197	55219
51742	5931
6119	7156
8452	10540
23063	1994
8877	8370
2885	6709
81608	113130
3836	9972
672	65108
53347	238
51548	6648
6711	7465
6134	26574
55170	10809
988	23397
1108	8290
6794	4291
10131	4914
7157	7534
892	112950
6605	6604
29775	80179
2077	58480
2033	200186
22976	653121
1385	3064
5597	2876
55148	84268
10616	9246
6878	2960
7514	8607
116113	8560
57120	79839
54149	2885
1739	2977
53615	79959
22980	147872
23281	57547
4691	6118
3959	84926
58480	57179
2782	54331
2896	8726
26354	23612
11119	11118
121441	3185
6576	4609
7264	9531
648	26039
9343	23524
6432	51631
23468	8350
51073	25852
1386	1054
25942	64800
2065	3326
975	207
55069	22832
9031	23451
10155	9869
55037	101928160
27237	93487
5511	2634
3159	3146
9218	22930
2597	5520
5523	127002
8878	7534
988	203068
51081	2926
23367	4869
2091	4116
7329	4599
10664	4691
8452	7284
7531	3621
7430	4478
4212	4212
1869	10626
1407	5519
9695	64210
6732	7745
3312	2806
9546	23112
7186	7391
7023	7919
23242	6118
7431	4836
56829	4914
5713	5682
64425	56916
126526	80145
23586	51320
5594	4751
7170	1147
23363	9669
22919	22919
8761	3608
7532	10458
11345	3313
1656	653121
5467	6472
8065	1503
10179	56915
9531	10482
7329	6477
84105	57326
10048	3996
387	8939
57120	5970
10419	4914
324	1642
6622	3308
3720	9869
5599	7203
6119	58517
6472	100526740
3735	4914
1994	54540
10419	6829
