84445	9968
1917	7706
25843	85369
8850	117143
4791	3313
5931	8352
7391	5591
56257	57636
6929	653499
7514	255967
1207	6637
55610	27333
7706	3799
6949	6117
4691	6741
267	3308
6175	5049
4174	23710
9342	3480
10111	51547
23543	6311
2908	6599
5515	1612
8452	57599
112858	415117
10890	7415
55749	580
11130	58472
6144	5521
1994	23524
468	2800
9044	22938
4171	6164
22938	5702
1108	9219
84612	2801
2335	5036
3159	9987
11059	6498
3030	83987
382	6235
3608	494115
2810	10772
2887	57520
6217	9793
9128	4914
26015	11321
10632	23612
3326	5681
55054	162989
1994	5887
26053	10432
63898	23641
79618	65265
1994	11328
100128966	2810
5925	554313
5597	7917
64326	2308
4005	2801
4904	10664
83461	53335
79035	58493
10987	8148
5317	51377
23513	5501
25782	373156
64848	4914
8562	92106
54535	23636
2888	1613
6938	124790
7376	6257
23239	23513
4706	107987373
83987	2314
2317	4869
79132	27161
128866	6872
226	3316
23411	23326
1387	6721
5830	8528
10376	9657
55722	6427
1398	55888
65057	126364
6924	10733
7417	5245
51377	8361
10419	10014
29945	8697
9656	29920
10180	6472
9875	4869
6655	4914
57504	8202
6117	310
27101	10498
54187	10482
53615	3066
3614	51053
10808	7410
481	22976
4214	7531
6224	4738
8878	5584
9063	4089
3326	7266
10987	90957
9777	22908
4702	818
8450	6157
5978	6601
4292	1192
8837	8737
25	6789
84466	6850
5782	4914
9774	4914
10051	5521
2091	4691
6780	4914
57727	27316
4301	50848
54872	55366
7402	9939
23031	10949
4171	10575
8453	8289
286262	2316
10915	3190
9931	10399
9738	2319
6118	23020
11176	3428
84612	84859
9820	129401
11335	93474
57520	53981
6741	22827
89941	4914
11130	27068
55640	10482
8726	9221
3872	81831
10298	10971
3315	2885
3188	51428
11345	1653
55968	11124
3091	10956
10277	84993
9820	6208
8683	10236
10204	6472
2521	3185
8662	6199
10010	3838
8614	5511
55658	56254
672	8678
8668	8665
474343	79693
55719	10133
7157	51499
25939	1017
84726	8665
4670	1499
27352	10482
2064	1717
841	27076
2885	8366
2222	2335
11007	23270
8452	10492
5598	2804
988	10131
26270	5983
2274	3399
56893	6692
7531	7257
7030	10592
57695	51434
4869	23636
81027	10980
3024	26995
26517	9730
3096	54840
372	372
9820	55660
10346	1977
10467	2886
8428	85369
7248	5747
26121	5987
1051	5970
60412	2961
3309	8726
23386	10724
23028	7376
57332	8354
445	57171
6198	4686
50807	2885
143187	9482
10482	993
7188	5987
22919	6840
3184	5498
23411	25793
7010	79155
56852	55719
324	6872
5682	5691
